"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","NOME_URNA_CANDIDATO","DESC_SIT_TOT_TURNO"
"1",50,100000,"PROFESSOR FORTUNATO","NÃO ELEITO"
"2",11,5000000,"GLADSON CAMELI","ELEITO"
"3",65,4200000,"PERPÉTUA ALMEIDA","NÃO ELEITO"
"4",33,1500000,"DR. ROBERTO DUARTE","NÃO ELEITO"
"5",50,275000,"HELOÍSA HELENA","NÃO ELEITO"
"6",25,6000000,"OMAR","NÃO ELEITO"
"7",19,0,"MARCOS AGUIAR","NÃO ELEITO"
"8",45,-1,"EDUARDO MAGALHAES","#NULO#"
"9",28,2000000,"OLDEMBERG PARANHOS","NÃO ELEITO"
"10",14,0,"COLLOR","ELEITO"
"11",51,400000,"CORONEL  BRITO","NÃO ELEITO"
"12",36,10000000,"ELIAS BARROS","NÃO ELEITO"
"13",28,2000000,"MARQUINHO ABREU","NÃO ELEITO"
"14",36,1000000,"CORONEL PALMIRA","NÃO ELEITO"
"15",51,1500000,"PROMOTOR MOISÉS","NÃO ELEITO"
"16",15,3900000,"GILVAM","NÃO ELEITO"
"17",44,1500000,"PASTOR JORVAN","NÃO ELEITO"
"18",21,-1,"RICARDO VILHENA","#NULO#"
"19",16,30000,"PROFESSOR PAULO RICARDO","NÃO ELEITO"
"20",13,1600000,"DORA NASCIMENTO","NÃO ELEITO"
"21",33,3000000,"RAQUEL CAPIBRIBE","NÃO ELEITO"
"22",25,11000000,"DAVI ALCOLUMBRE","ELEITO"
"23",16,100000,"JÚLIO FERRAZ","NÃO ELEITO"
"24",13,15000000,"PRACIANO","NÃO ELEITO"
"25",40,2000000,"MARCELO SERAFIM","NÃO ELEITO"
"26",50,580000,"PROFESSOR QUEIROZ","NÃO ELEITO"
"27",33,1000000,"JONATAS ALMEIDA","NÃO ELEITO"
"28",55,0,"OMAR AZIZ","ELEITO"
"29",55,16000000,"OTTO ALENCAR","ELEITO"
"30",15,28000000,"GEDDEL VIEIRA LIMA","NÃO ELEITO"
"31",51,2000000,"MARCELO EVANGELISTA","NÃO ELEITO"
"32",40,8000000,"ELIANA CALMON","NÃO ELEITO"
"33",50,500000,"HAMILTON ASSIS","NÃO ELEITO"
"34",16,60000,"RAQUEL DIAS","NÃO ELEITO"
"35",40,4500000,"GEOVANA CARTAXO","NÃO ELEITO"
"36",90,12300000,"MAURO FILHO","NÃO ELEITO"
"37",45,9000000,"TASSO JEREISSATI","ELEITO"
"38",14,10000000,"GIM ARGELLO","NÃO ELEITO"
"39",16,20000,"ROBSON","NÃO ELEITO"
"40",12,3500000,"REGUFFE","ELEITO"
"41",21,10000,"JAMIL MAGARI","NÃO ELEITO"
"42",45,7000000,"SANDRA QUEZADO","NÃO ELEITO"
"43",13,30000000,"MAGELA","NÃO ELEITO"
"44",50,250000,"ALDEMARIO","NÃO ELEITO"
"45",29,30000,"EXPEDITO MENDONÇA","NÃO ELEITO"
"46",13,4000000,"JOAO COSER","NÃO ELEITO"
"47",22,-1,"CONTARATO","#NULO#"
"48",43,5000000,"NEUCIMAR FRAGA","NÃO ELEITO"
"49",15,5000000,"ROSE DE FREITAS","ELEITO"
"50",16,100000,"RAPHAEL FURTADO","NÃO ELEITO"
"51",50,400000,"ANDRE MOREIRA","NÃO ELEITO"
"52",50,100000,"ELBER SAMPAIO","NÃO ELEITO"
"53",25,15000000,"RONALDO CAIADO","ELEITO"
"54",40,5000000,"AGUIMAR JESUÍNO","NÃO ELEITO"
"55",27,5000000,"ALDO MURO","NÃO ELEITO"
"56",21,100000,"ANTÔNIO NETO","NÃO ELEITO"
"57",55,12000000,"VILMAR ROCHA","NÃO ELEITO"
"58",13,15000000,"MARINA SANT'ANNA","NÃO ELEITO"
"59",54,4000000,"GERSÃO","NÃO ELEITO"
"60",50,500000,"HAROLDO SABOIA","NÃO ELEITO"
"61",21,50000,"EVAN DE ANDRADE","NÃO ELEITO"
"62",16,5000,"MARCOS SILVA","NÃO ELEITO"
"63",40,10000000,"ROBERTO ROCHA","ELEITO"
"64",15,20000000,"GASTÃO VIEIRA","NÃO ELEITO"
"65",50,1000000,"GILBERTO LOPES FILHO","NÃO ELEITO"
"66",25,-1,"JAYME CAMPOS","#NULO#"
"67",55,30000000,"RUI PRADO","NÃO ELEITO"
"68",70,-1,"JUCA DO GUARANÁ","#NULO#"
"69",45,12000000,"ROGÉRIO SALLES","NÃO ELEITO"
"70",22,15000000,"WELLINGTON FAGUNDES","ELEITO"
"71",31,-1,"AMOREZIO","#NULO#"
"72",50,250000,"LUCIEN REZENDE","NÃO ELEITO"
"73",16,16167,"VALDEMIR DO PSTU","NÃO ELEITO"
"74",11,7000000,"ALCIDES BERNAL","NÃO ELEITO"
"75",15,10000000,"SIMONE TEBET","ELEITO"
"76",13,6000000,"RICARDO AYACHE","NÃO ELEITO"
"77",55,5000000,"ANTONIO JOÃO","NÃO ELEITO"
"78",16,200000,"GERALDO BATATA","NÃO ELEITO"
"79",29,25000,"GRAÇA","NÃO ELEITO"
"80",45,20000000,"ANTONIO ANASTASIA","ELEITO"
"81",27,800000,"TARCISIO","NÃO ELEITO"
"82",70,5000000,"EDILSON NASCIMENTO","NÃO ELEITO"
"83",21,500000,"PABLO LIMA","NÃO ELEITO"
"84",40,10000000,"MARGARIDA VIEIRA","NÃO ELEITO"
"85",15,8200000,"JOSUÉ ALENCAR","NÃO ELEITO"
"86",16,100000,"ANGELA AZEVEDO","NÃO ELEITO"
"87",45,10000000,"MARIO COUTO","NÃO ELEITO"
"88",43,2000000,"PROFESSOR SIMÃO","NÃO ELEITO"
"89",14,5000000,"DUCIOMAR COSTA","NÃO ELEITO"
"90",50,300000,"PEDRINHO MAIA","NÃO ELEITO"
"91",55,8000000,"HELENILSON PONTES","NÃO ELEITO"
"92",28,10000000,"*ELIEZER BARROS","NÃO ELEITO"
"93",13,15000000,"PAULO ROCHA","ELEITO"
"94",11,1500000,"JEFFERSON LIMA","NÃO ELEITO"
"95",21,10000,"RENATO ROLIM","NÃO ELEITO"
"96",77,5000000,"ENFERMEIRA MARCELA TOLENTINO","NÃO ELEITO"
"97",90,5000000,"PROFESSORA LEILA","NÃO ELEITO"
"98",16,18000,"RAMA DANTAS","NÃO ELEITO"
"99",15,11500000,"JOSE MARANHÃO","ELEITO"
"100",50,300000,"NELSON JÚNIOR","NÃO ELEITO"
"101",13,8000000,"LUCÉLIO CARTAXO","NÃO ELEITO"
"102",29,-1,"GILSON FERREIRA","#NULO#"
"103",36,600000,"WALTER BRITO","NÃO ELEITO"
"104",14,14000000,"WILSON SANTIAGO","NÃO ELEITO"
"105",36,1000000,"LUIZ BARBARA","NÃO ELEITO"
"106",65,10000000,"RICARDO GOMYDE","NÃO ELEITO"
"107",15,30000000,"MARCELO ALMEIDA","NÃO ELEITO"
"108",50,50000,"PROFESSOR PIVA","NÃO ELEITO"
"109",44,2500000,"MAURI VIANA","NÃO ELEITO"
"110",16,10000,"CASTAGNA","NÃO ELEITO"
"111",28,1000000,"ADILSON SENADOR DA FAMILIA","NÃO ELEITO"
"112",45,9250000,"ALVARO DIAS","ELEITO"
"113",50,350000,"ALBANISE PIRES","NÃO ELEITO"
"114",21,100000,"OXIS","NÃO ELEITO"
"115",40,8500000,"FERNANDO BEZERRA COELHO","ELEITO"
"116",16,30000,"SIMONE FONTANA","NÃO ELEITO"
"117",13,8500000,"JOÃO PAULO","NÃO ELEITO"
"118",14,5000000,"ELMANO - O VEÍN TRABALHADOR","ELEITO"
"119",21,-1,"ALDIR NUNES","#NULO#"
"120",40,12000000,"WILSON MARTINS","NÃO ELEITO"
"121",54,10000000,"PROFESSOR CLAUDIONOR","NÃO ELEITO"
"122",20,1000000,"GUSTAVO HENRIQUE","NÃO ELEITO"
"123",16,80000,"GERALDO CARVALHO","NÃO ELEITO"
"124",16,150000,"HEITOR FERNANDES","NÃO ELEITO"
"125",21,10000,"EDUARDO SERRA","NÃO ELEITO"
"126",90,0,"LILIAM SÁ","NÃO ELEITO"
"127",50,600000,"PEDRO ROSA","NÃO ELEITO"
"128",40,20000000,"ROMÁRIO","ELEITO"
"129",25,15000000,"CESAR MAIA","NÃO ELEITO"
"130",12,10000000,"CARLOS LUPI","NÃO ELEITO"
"131",10,5000000,"DIPLOMATA SEBASTIÃO NEVES","NÃO ELEITO"
"132",50,150000,"PROFESSOR LAILSON","NÃO ELEITO"
"133",13,15000000,"FÁTIMA","ELEITO"
"134",17,300000,"ROBERTO RONCONI","NÃO ELEITO"
"135",40,15000000,"VILMA MARIA DE FARIA","NÃO ELEITO"
"136",16,20000,"ANA CELIA","NÃO ELEITO"
"137",13,2000000,"OLÍVIO DUTRA","NÃO ELEITO"
"138",12,5000000,"LASIER MARTINS","ELEITO"
"139",15,0,"SIMON","NÃO ELEITO"
"140",44,5000000,"GOLD","NÃO ELEITO"
"141",40,-1,"BETO ALBUQUERQUE","#NULO#"
"142",11,4000000,"SIMONE LEITE","NÃO ELEITO"
"143",16,50000,"JULIO FLORES","NÃO ELEITO"
"144",33,1000000,"CIRO MACHADO","NÃO ELEITO"
"145",55,0,"MOREIRA MENDES","NÃO ELEITO"
"146",12,10000000,"ACIR GURGACZ","ELEITO"
"147",50,500000,"ALUIZIO VIDAL","NÃO ELEITO"
"148",11,10000000,"IVONE CASSOL","NÃO ELEITO"
"149",16,20000,"DIONISIO ALVES","NÃO ELEITO"
"150",14,15000000,"MOZARILDO","NÃO ELEITO"
"151",54,6000000,"DRª JOSY CARVALHO","NÃO ELEITO"
"152",12,1000000,"TELMÁRIO MOTA","ELEITO"
"153",45,8000000,"ANCHIETA","NÃO ELEITO"
"154",22,5800000,"LUCIANO CASTRO","NÃO ELEITO"
"155",13,7000000,"MILTON MENDES","NÃO ELEITO"
"156",44,8000000,"PROFESSORA JUNARA FERRAZ","NÃO ELEITO"
"157",40,15000000,"PAULO BORNHAUSEN","NÃO ELEITO"
"158",15,8000000,"DÁRIO","ELEITO"
"159",16,25000,"ROSANE DE SOUZA","NÃO ELEITO"
"160",50,500000,"SARGENTO SOARES","NÃO ELEITO"
"161",33,1000000,"ALAN ALVES MOREIRA","NÃO ELEITO"
"162",21,100000,"EDMILSON COSTA","NÃO ELEITO"
"163",16,500000,"ANA LUIZA","NÃO ELEITO"
"164",55,28000000,"GILBERTO KASSAB","NÃO ELEITO"
"165",43,10000000,"KAKA WERA","NÃO ELEITO"
"166",45,30000000,"JOSÉ SERRA","ELEITO"
"167",40,-1,"GENILDO MOREIRA","#NULO#"
"168",28,5000000,"SENADOR FLÁQUER","NÃO ELEITO"
"169",44,10000000,"FERNANDO LUCAS","NÃO ELEITO"
"170",14,15000000,"MARLENE CAMPOS MACHADO","NÃO ELEITO"
"171",13,15000000,"EDUARDO SUPLICY","NÃO ELEITO"
"172",29,30000,"JURACI GARCIA","NÃO ELEITO"
"173",21,30000,"PROFESSOR MARQUES","NÃO ELEITO"
"174",54,10000000,"BILA","NÃO ELEITO"
"175",25,6000000,"MARIA DO CARMO","ELEITO"
"176",13,8000000,"ROGÉRIO","NÃO ELEITO"
"177",16,200000,"LEANDRO","NÃO ELEITO"
"178",90,8000000,"SARGENTO ARAGÃO","NÃO ELEITO"
"179",50,1550000,"ELVIO QUIRINO","NÃO ELEITO"
"180",28,-1,"JOEL MATOS","#NULO#"
"181",21,50000,"CEIÇA","NÃO ELEITO"
"182",77,15000000,"EDUARDO GOMES","NÃO ELEITO"
"183",15,15000000,"KATIA ABREU","ELEITO"
