"","DATA_GERACAO","HORA_GERACAO","ANO_ELEICAO","NUM_TURNO","DESCRICAO_ELEICAO","SIGLA_UF","SIGLA_UE","CODIGO_CARGO","DESCRICAO_CARGO","TIPO_LEGENDA","NUMERO_PARTIDO","SIGLA_PARTIDO","NOME_PARTIDO","SIGLA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","SEQUENCIAL_COLIGACAO"
"1","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",16,"PSTU","PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO","PSTU","PSTU","PSTU",1016
"2","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",20,"PSC","PARTIDO SOCIAL CRIST츒","PSC","PSC","PSC",1020
"3","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",21,"PCB","PARTIDO COMUNISTA BRASILEIRO","PCB","PCB","PCB",1021
"4","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",27,"PSDC","PARTIDO SOCIAL DEMOCRATA CRIST츒","PSDC","PSDC","PSDC",1027
"5","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",28,"PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","PRTB","PRTB","PRTB",1028
"6","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",29,"PCO","PARTIDO DA CAUSA OPERRIA","PCO","PCO","PCO",1029
"7","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",43,"PV","PARTIDO VERDE","PV","PV","PV",1043
"8","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",50,"PSOL","PARTIDO SOCIALISMO E LIBERDADE","PSOL","PSOL","PSOL",1050
"9","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",10,"PRB","PARTIDO REPUBLICANO BRASILEIRO","#NE#","COM A FOR큐 DO POVO","PC do B / PDT / PMDB / PP / PR / PRB / PROS / PSD / PT",1100
"10","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",11,"PP","PARTIDO PROGRESSISTA","#NE#","COM A FOR큐 DO POVO","PC do B / PDT / PMDB / PP / PR / PRB / PROS / PSD / PT",1100
"11","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",12,"PDT","PARTIDO DEMOCR쳆ICO TRABALHISTA","#NE#","COM A FOR큐 DO POVO","PC do B / PDT / PMDB / PP / PR / PRB / PROS / PSD / PT",1100
"12","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",13,"PT","PARTIDO DOS TRABALHADORES","#NE#","COM A FOR큐 DO POVO","PC do B / PDT / PMDB / PP / PR / PRB / PROS / PSD / PT",1100
"13","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",14,"PTB","PARTIDO TRABALHISTA BRASILEIRO","#NE#","MUDA BRASIL","DEM / PEN / PMN / PSDB / PT do B / PTB / PTC / PTN / SD",1101
"14","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",15,"PMDB","PARTIDO DO MOVIMENTO DEMOCR쳆ICO BRASILEIRO","#NE#","COM A FOR큐 DO POVO","PC do B / PDT / PMDB / PP / PR / PRB / PROS / PSD / PT",1100
"15","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",17,"PSL","PARTIDO SOCIAL LIBERAL","#NE#","UNIDOS PELO BRASIL","PHS / PPL / PPS / PRP / PSB / PSL",1102
"16","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",19,"PTN","PARTIDO TRABALHISTA NACIONAL","#NE#","MUDA BRASIL","DEM / PEN / PMN / PSDB / PT do B / PTB / PTC / PTN / SD",1101
"17","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",22,"PR","PARTIDO DA REP２LICA","#NE#","COM A FOR큐 DO POVO","PC do B / PDT / PMDB / PP / PR / PRB / PROS / PSD / PT",1100
"18","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",23,"PPS","PARTIDO POPULAR SOCIALISTA","#NE#","UNIDOS PELO BRASIL","PHS / PPL / PPS / PRP / PSB / PSL",1102
"19","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",25,"DEM","DEMOCRATAS","#NE#","MUDA BRASIL","DEM / PEN / PMN / PSDB / PT do B / PTB / PTC / PTN / SD",1101
"20","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",31,"PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE","#NE#","UNIDOS PELO BRASIL","PHS / PPL / PPS / PRP / PSB / PSL",1102
"21","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",33,"PMN","PARTIDO DA MOBILIZA츒 NACIONA","#NE#","MUDA BRASIL","DEM / PEN / PMN / PSDB / PT do B / PTB / PTC / PTN / SD",1101
"22","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",36,"PTC","PARTIDO TRABALHISTA CRIST츒","#NE#","MUDA BRASIL","DEM / PEN / PMN / PSDB / PT do B / PTB / PTC / PTN / SD",1101
"23","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",40,"PSB","PARTIDO SOCIALISTA BRASILEIRO","#NE#","UNIDOS PELO BRASIL","PHS / PPL / PPS / PRP / PSB / PSL",1102
"24","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",44,"PRP","PARTIDO REPUBLICANO PROGRESSISTA","#NE#","UNIDOS PELO BRASIL","PHS / PPL / PPS / PRP / PSB / PSL",1102
"25","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",45,"PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","#NE#","MUDA BRASIL","DEM / PEN / PMN / PSDB / PT do B / PTB / PTC / PTN / SD",1101
"26","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",51,"PEN","PARTIDO ECOL휺ICO NACIONAL","#NE#","MUDA BRASIL","DEM / PEN / PMN / PSDB / PT do B / PTB / PTC / PTN / SD",1101
"27","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",54,"PPL","PARTIDO P쳆RIA LIVRE","#NE#","UNIDOS PELO BRASIL","PHS / PPL / PPS / PRP / PSB / PSL",1102
"28","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",55,"PSD","PARTIDO SOCIAL DEMOCR쳆ICO","#NE#","COM A FOR큐 DO POVO","PC do B / PDT / PMDB / PP / PR / PRB / PROS / PSD / PT",1100
"29","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",65,"PC do B","PARTIDO COMUNISTA DO BRASIL","#NE#","COM A FOR큐 DO POVO","PC do B / PDT / PMDB / PP / PR / PRB / PROS / PSD / PT",1100
"30","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",70,"PT do B","PARTIDO TRABALHISTA DO BRASIL","#NE#","MUDA BRASIL","DEM / PEN / PMN / PSDB / PT do B / PTB / PTC / PTN / SD",1101
"31","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",77,"SD","SOLIDARIEDADE","#NE#","MUDA BRASIL","DEM / PEN / PMN / PSDB / PT do B / PTB / PTC / PTN / SD",1101
"32","16/07/2017",14:36:30,2014,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",90,"PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL","#NE#","COM A FOR큐 DO POVO","PC do B / PDT / PMDB / PP / PR / PRB / PROS / PSD / PT",1100
